
7-12-2022 2:16:38,disturber,63
7-12-2022 2:16:39,disturber,63
7-12-2022 2:16:39,disturber,63
7-12-2022 2:16:40,disturber,63
7-12-2022 2:16:41,disturber,63
7-12-2022 2:16:41,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:42,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:43,disturber,63
7-12-2022 2:16:44,disturber,63
7-12-2022 2:16:44,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:45,disturber,63
7-12-2022 2:16:46,disturber,63
7-12-2022 2:16:47,disturber,63
7-12-2022 2:18:29,disturber,63
7-12-2022 2:18:39,disturber,63
7-12-2022 2:18:40,disturber,63
8-12-2022 14:32:6,71.5,101862.0,34.0
8-12-2022 14:32:21,71.5,101862.0,34.0
8-12-2022 14:33:0,disturber,63
8-12-2022 14:33:36,71.6,101875.0,34.0
8-12-2022 14:33:51,71.6,101872.0,34.0
8-12-2022 15:2:7,71.7,101905.0,33.0
8-12-2022 15:4:23,71.5,101908.0,33.0
8-12-2022 15:4:38,71.5,101908.0,33.0
8-12-2022 15:4:53,71.5,101911.0,34.0
8-12-2022 15:5:8,71.5,101913.0,33.0
8-12-2022 15:5:23,71.5,101906.0,33.0
8-12-2022 15:5:38,71.5,101914.0,33.0
8-12-2022 15:5:53,71.5,101920.0,33.0
8-12-2022 15:6:8,71.5,101916.0,33.0
8-12-2022 15:6:23,71.5,101917.0,33.0
8-12-2022 15:6:38,71.5,101916.0,33.0
8-12-2022 15:6:53,71.5,101907.0,33.0
8-12-2022 15:7:8,71.5,101915.0,33.0
8-12-2022 15:7:23,71.5,101920.0,33.0
8-12-2022 15:7:38,71.5,101916.0,33.0
8-12-2022 15:7:53,71.5,101920.0,33.0
8-12-2022 15:8:8,71.4,101915.0,33.0
8-12-2022 15:8:23,71.4,101917.0,33.0
8-12-2022 15:8:38,71.4,101914.0,33.0
8-12-2022 15:8:53,71.4,101919.0,33.0
8-12-2022 15:9:8,71.4,101917.0,33.0
8-12-2022 15:9:23,71.4,101911.0,33.0
8-12-2022 15:9:38,71.4,101919.0,33.0
8-12-2022 15:9:53,71.4,101914.0,33.0
8-12-2022 15:10:8,71.4,101910.0,33.0
8-12-2022 15:10:23,71.4,101911.0,33.0
8-12-2022 15:10:38,71.4,101911.0,33.0
8-12-2022 15:10:53,71.4,101910.0,33.0
8-12-2022 15:11:8,71.4,101912.0,33.0
8-12-2022 15:11:23,71.4,101915.0,33.0
8-12-2022 15:11:38,71.4,101900.0,33.0
8-12-2022 15:11:53,71.5,101910.0,33.0
8-12-2022 15:12:8,71.4,101912.0,33.0
8-12-2022 15:12:23,71.4,101910.0,33.0
8-12-2022 15:12:38,71.4,101909.0,33.0
8-12-2022 15:12:53,71.4,101912.0,33.0
8-12-2022 15:13:8,71.4,101904.0,33.0
8-12-2022 15:13:23,71.4,101902.0,33.0
8-12-2022 15:13:38,71.4,101910.0,33.0
8-12-2022 15:13:53,71.4,101911.0,33.0
8-12-2022 15:14:8,71.4,101911.0,33.0
8-12-2022 15:14:23,71.4,101908.0,33.0
8-12-2022 15:14:38,71.4,101906.0,33.0
8-12-2022 15:14:53,71.4,101908.0,33.0
8-12-2022 15:15:8,71.4,101909.0,33.0
8-12-2022 15:15:23,71.4,101906.0,33.0
8-12-2022 15:15:38,71.4,101909.0,33.0
8-12-2022 15:15:53,71.4,101910.0,33.0
8-12-2022 15:16:8,71.4,101910.0,33.0
8-12-2022 15:16:23,71.4,101907.0,33.0
8-12-2022 15:16:38,71.4,101908.0,34.0
8-12-2022 15:16:53,71.4,101910.0,33.0
8-12-2022 15:17:8,71.4,101913.0,33.0
8-12-2022 15:17:23,71.4,101905.0,33.0
8-12-2022 15:17:38,71.4,101912.0,33.0
8-12-2022 15:17:53,71.4,101913.0,33.0
8-12-2022 15:18:8,71.4,101908.0,33.0
8-12-2022 15:18:23,71.4,101912.0,33.0
8-12-2022 15:18:38,71.4,101914.0,33.0
8-12-2022 15:18:53,71.4,101908.0,33.0
8-12-2022 15:19:8,71.4,101910.0,33.0
8-12-2022 15:19:23,71.5,101916.0,33.0
8-12-2022 15:19:38,71.5,101911.0,33.0
8-12-2022 15:19:53,71.5,101914.0,33.0
8-12-2022 15:20:8,71.4,101912.0,33.0
8-12-2022 15:20:24,71.4,101919.0,33.0
8-12-2022 15:20:39,71.4,101915.0,33.0
8-12-2022 15:20:54,71.5,101917.0,33.0
8-12-2022 15:21:9,71.5,101926.0,33.0
8-12-2022 15:21:24,71.5,101927.0,33.0
8-12-2022 15:21:39,71.5,101926.0,33.0
8-12-2022 15:21:54,71.4,101924.0,33.0
8-12-2022 15:22:9,71.4,101924.0,33.0
8-12-2022 15:22:24,71.4,101921.0,33.0
8-12-2022 15:22:39,71.4,101921.0,33.0
8-12-2022 15:22:54,71.4,101925.0,33.0
8-12-2022 15:23:9,71.4,101926.0,33.0
8-12-2022 15:23:24,71.3,101924.0,33.0
8-12-2022 15:23:39,71.3,101928.0,33.0
8-12-2022 15:23:54,71.4,101919.0,33.0
8-12-2022 15:24:9,71.3,101927.0,33.0
8-12-2022 15:24:24,71.3,101923.0,33.0
8-12-2022 15:24:39,71.3,101924.0,33.0
8-12-2022 15:24:54,71.3,101926.0,33.0
8-12-2022 15:25:9,71.3,101920.0,33.0
8-12-2022 15:25:24,71.3,101928.0,33.0
8-12-2022 15:25:39,71.3,101917.0,33.0
8-12-2022 15:25:54,71.3,101932.0,33.0
8-12-2022 15:26:9,71.3,101927.0,33.0
8-12-2022 15:26:24,71.3,101919.0,33.0
8-12-2022 15:26:39,71.3,101929.0,33.0
8-12-2022 15:26:54,71.3,101927.0,33.0
8-12-2022 15:27:9,71.3,101925.0,33.0
8-12-2022 15:27:24,71.3,101922.0,33.0
8-12-2022 15:27:39,71.3,101921.0,33.0
8-12-2022 15:27:54,71.2,101926.0,33.0
8-12-2022 15:28:9,71.3,101923.0,33.0
8-12-2022 15:28:24,71.3,101939.0,33.0
8-12-2022 15:28:39,71.3,101931.0,33.0
8-12-2022 15:28:54,71.3,101928.0,33.0
8-12-2022 15:29:9,71.3,101927.0,33.0
8-12-2022 15:29:24,71.3,101927.0,33.0
8-12-2022 15:29:39,71.2,101921.0,33.0
8-12-2022 15:29:54,71.2,101926.0,33.0
8-12-2022 15:30:9,71.2,101923.0,33.0
8-12-2022 15:30:24,71.2,101928.0,33.0
8-12-2022 15:30:39,71.2,101934.0,33.0
8-12-2022 15:30:54,71.2,101935.0,33.0
8-12-2022 15:31:9,71.2,101932.0,33.0
8-12-2022 15:31:24,71.2,101940.0,33.0
8-12-2022 15:31:39,71.2,101937.0,33.0
8-12-2022 15:31:54,71.2,101937.0,33.0
8-12-2022 15:32:9,71.2,101936.0,33.0
8-12-2022 15:32:24,71.2,101937.0,33.0
8-12-2022 15:32:39,71.2,101941.0,33.0
8-12-2022 15:32:54,71.2,101934.0,33.0
8-12-2022 15:33:9,71.2,101935.0,33.0
8-12-2022 15:33:24,71.2,101939.0,33.0
8-12-2022 15:33:39,71.2,101944.0,33.0
8-12-2022 15:33:54,71.2,101950.0,33.0
8-12-2022 15:34:9,71.2,101946.0,33.0
8-12-2022 15:34:24,71.2,101942.0,33.0
8-12-2022 15:34:39,71.2,101947.0,33.0
8-12-2022 15:34:54,71.2,101946.0,33.0
8-12-2022 15:45:2,89.4,101939.0,20.0
8-12-2022 15:45:17,87.5,101936.0,23.0
8-12-2022 15:45:32,85.7,101938.0,23.0
8-12-2022 15:45:47,84.2,101931.0,23.0
8-12-2022 15:46:2,82.4,101932.0,24.0
8-12-2022 15:46:17,81.3,101932.0,25.0
8-12-2022 15:46:32,80.5,101933.0,25.0
8-12-2022 15:46:47,80.0,101932.0,25.0
8-12-2022 15:47:2,79.4,101934.0,26.0
8-12-2022 15:47:17,78.9,101929.0,26.0
8-12-2022 15:47:32,78.4,101930.0,27.0
8-12-2022 15:47:47,77.9,101938.0,27.0
8-12-2022 15:48:2,77.5,101943.0,27.0
8-12-2022 15:48:17,77.2,101930.0,28.0
8-12-2022 15:48:32,76.8,101946.0,28.0
8-12-2022 15:48:47,76.5,101937.0,28.0
8-12-2022 15:49:2,76.3,101945.0,28.0
8-12-2022 15:49:17,76.1,101949.0,28.0
